century_zone,count
Fresku,1553
Unaza e Re,1389
Don Bosco,863
21 Dhjetori,843
Rruga e Kavajës,781
Ali Demi,754
Komuna e Parisit,729
Liqeni i Thatë,704
Blloku,584
Astiri,543
Yzberish,521
Ish Fusha e Aviacionit,406
Kopshti Botanik Zoologjik,402
Myslym Shyri,388
Rruga e Elbasanit,386
Oxhaku,360
Kodra e Diellit Residence,357
Laprakë,333
Brryli,315
Misto Mame,311
Rruga e Dibrës,310
Liqeni i Tiranës,282
Rruga Barrikadave,253
Medreseja,248
Sheshi Skënderbej (Qendër),247
Selvia,245
Kinostudio,208
Rruga Bardhyl,203
Pazari i Ri,202
Vasil Shanto,197
Stacioni I trenit,195
Rruga e Durrësit,186
Brraka,177
Zogu I Zi,175
Unaza e Re Vlorë,169
Stadiumi Dinamo,169
Tregu Elektrik,143
Ish stacioni i fundit i Tiranës së Re,131
Bulevardi Zogu i Parë,131
Hipoteka,131
Ish Parku,129
Xhamlliku,129
9 Katëshet,129
Shkolla e Baletit,111
Pallati me Shigjeta,110
Sheshi Willson,108
Porcelan,107
Casa Italia,97
Gjimnazi Petro Nini Luarasi,97
Rruga e Kosovarëve,95
Ministria e Jashtme,86
Hoxha Tahsim,82
Spitali QSUT (Nënë Tereza),79
Institut Kamëz,78
Bulevardi,77
Selitë,73
Kombinat,64
Globe,62
Ish Ekspozita,60
Shkolla e Bashkuar,60
Qyteti Studenti,57
Garda,57
Shkolla e Kuqe,56
Liceu Artistik,54
Allias,52
Blv. Zhan D'Ark,51
Restorant Durrësi,48
Ish Dogana,47
Shallvaret,45
Shkozë,44
Rruga Fortuzi,43
Pallatet Çabej,41
Sauk i Vjetër,40
Rruga Muhamet Gjollesha,39
Stadiumi Qemal Stafa,37
Ambasada Amerikane,37
Kompleksi Delijorgji,37
Vilat Selitë,36
Dajti,34
Varri I Bamit,30
Linzë,30
Qendra Tregtare TEG,29
Kodra e Priftit,24
Vilat Gjermane,23
Materniteti i Ri,22
Kashar,22
Kthesa e Kamzës,21
ATSH,20
Tufinë,17
Profarma,16
Libri Universitar,15
Shkolla Andon Zako Çajupi,14
Sauk i Ri,14
Autostrada Tiranë - Durrës,12
Sheshi Avni Rustemi,11
Qendra Tregtare Kristal,11
Harry Fultz,11
Qendra Tregtare ETC,10
Farkë,8
Bulevardi Dëshmorët e Kombit,8
Pallatet Agimi,6
Parlamenti,6
Radio Televizioni Shqiptar,4
Mjull - Bathore,4
Yrshek,3
Petrelë,3
Lundër,3
Frigoriferi,3
Vaqarr,2
Vizion Plus,2
Gjykata e Rrethit,2
Qendra Tregtare QTU,1
Marikaj,1
Maminas,1
Kuçovë,1
Babrru,1
"golem, plazh",1
materniteti i ri,1
